academie,taux_reussite
Aix-Marseille,40
Amiens,42
Besançon,40
Bordeaux,40
Caen,40
Clermont-Ferrand,42
Corse,47
Créteil,40
Dijon,42
Grenoble,40
Lille,40
Limoges,47
Lyon,30
Montpellier,47
Nancy-Metz,40
Nantes,40
Nice,40
Orléans-Tours,42
Paris,40
Poitiers,42
Reims,42
Rennes,40
Rouen,40
Strasbourg,40
Toulouse,40
Versailles,30
Guadeloupe,55
Guyane,47
Martinique,55
La Réunion,55
Mayotte,55
